2025-04-06 16:39:30 - metaclaude - INFO - Created new commands.txt file at /home/user/axi-game-engine/commands.txt
2025-04-06 16:39:30 - metaclaude - INFO - Using commands.txt at absolute path: /home/user/axi-game-engine/commands.txt
2025-04-06 16:39:30 - metaclaude - INFO - Created new CLAUDE.md file at /home/user/axi-game-engine/CLAUDE.md.
2025-04-06 16:39:30 - metaclaude - INFO - Using CLAUDE.md at absolute path: /home/user/axi-game-engine/CLAUDE.md
2025-04-06 16:39:30 - metaclaude - DEBUG - Using screen config file: /home/user/metaclaude_c/metaclaude/ui/screenrc.claude
2025-04-06 16:39:30 - metaclaude - DEBUG - Session 0 is alive: Claude screen session exists
2025-04-06 16:39:31 - metaclaude - DEBUG - Session 0 is alive: Claude screen session exists
2025-04-06 16:39:31 - metaclaude - DEBUG - Generated unique screen session name: command_0_73b015ad
2025-04-06 16:39:31 - metaclaude - DEBUG - Using screen config file: /home/user/metaclaude_c/metaclaude/ui/screenrc
2025-04-06 16:39:32 - metaclaude - DEBUG - Session 0 is alive: Claude screen session exists
2025-04-06 16:39:32 - metaclaude - INFO - Commands count: 1
2025-04-06 16:39:32 - metaclaude - INFO - Command_statuses count: 1
2025-04-06 16:39:32 - metaclaude - INFO - First command: python3 -m metaclaude.utils.dummy_process
2025-04-06 16:39:32 - metaclaude - INFO - Started crash monitoring with thread-based approach
2025-04-06 16:39:33 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:33 - metaclaude - DEBUG - Attaching to screen session with command: screen -x claude_process_8b4a24a8
2025-04-06 16:39:34 - metaclaude - DEBUG - Attaching to screen session with command: screen -x command_0_73b015ad
2025-04-06 16:39:34 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:35 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:36 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:37 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:38 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:39 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:40 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:41 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:42 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:43 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:44 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:45 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:46 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:47 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:48 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:49 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:50 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:51 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:52 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:53 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:54 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:55 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:56 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:57 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:58 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:39:59 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:00 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:01 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:02 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:03 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:04 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:05 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:06 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:07 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:08 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:09 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:10 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:11 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:12 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:13 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:14 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:15 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:16 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:17 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:18 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:19 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:20 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:21 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:22 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:23 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:24 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:25 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:26 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:27 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:28 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:29 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:30 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:31 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:31 - metaclaude - DEBUG - Accepted connection from 
2025-04-06 16:40:31 - metaclaude - DEBUG - Accepted connection from 
2025-04-06 16:40:31 - metaclaude - INFO - Received command: submit_to_claude
2025-04-06 16:40:31 - metaclaude - INFO - Starting submit_to_claude for claude_process_8b4a24a8 in separate thread
2025-04-06 16:40:31 - metaclaude - INFO - Request to submit to Claude for session: 'claude_process_8b4a24a8'
2025-04-06 16:40:31 - metaclaude - INFO - Available claude sessions: ['claude_process_8b4a24a8']
2025-04-06 16:40:31 - metaclaude - INFO - Found session with UID 0, submitting to Claude
2025-04-06 16:40:31 - metaclaude - DEBUG - Released screen session name: command_0_73b015ad
2025-04-06 16:40:31 - metaclaude - INFO - All monitoring threads signaled to stop
2025-04-06 16:40:32 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:33 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:34 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:34 - metaclaude - INFO - Submission to Claude completed
2025-04-06 16:40:34 - metaclaude - INFO - submit_to_claude for claude_process_8b4a24a8 completed successfully
2025-04-06 16:40:35 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:36 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:37 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:38 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:39 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:40 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:41 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:42 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:43 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:44 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:45 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:46 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:47 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:48 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:49 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:50 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:51 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:52 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:53 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
2025-04-06 16:40:54 - metaclaude - DEBUG - Session 0 is alive: tmux session exists
